Date,Value
2021-01-22,618971470684.375
2021-01-21,599191358831.2501
2021-01-20,649901248937.5
2021-01-19,688680366500.0
2021-01-18,668081186406.25
2021-01-17,682039132578.125
2021-01-16,676063388900.0
2021-01-15,663707921709.375
2021-01-14,724844589393.75
2021-01-13,689972848250.0
2021-01-12,638766751771.8159
2021-01-11,635529262515.625
2021-01-10,716360177445.0898
2021-01-09,755348290021.8749
2021-01-08,729200711081.25
2021-01-07,739800224341.1525
2021-01-06,659286121398.0999
2021-01-05,631822244400.0
2021-01-04,582591741171.875
2021-01-03,619812801770.347
2021-01-02,611009747250.0
2021-01-01,543813604993.75
2020-12-31,541436761125.00006
2020-12-30,536005719840.625
2020-12-29,502084592900.0
2020-12-28,494599376803.125
2020-12-27,503387776137.5
2020-12-26,482973806052.42896
2020-12-25,454750935112.5
2020-12-24,434486494603.12494
2020-12-23,438284065187.5
2020-12-22,436489190915.625
2020-12-21,425619240987.5
2020-12-20,451253327078.125
2020-12-19,446207340093.75
2020-12-18,423055516650.0
2020-12-17,425710206750.0
2020-12-16,385136033628.125
2020-12-15,362515788009.375
2020-12-14,356379409000.0
2020-12-13,355898362125.0
2020-12-12,349094377828.125
2020-12-11,335949794703.125
2020-12-10,340854372796.87506
2020-12-09,338870125050.0
2020-12-08,349668748050.0
2020-12-07,352724530031.25
2020-12-06,356374307812.5
2020-12-05,353730819406.25
2020-12-04,351662891906.25
2020-12-03,361493154309.375
2020-12-02,353175382118.75
2020-12-01,350063310012.5
2020-11-30,357753770756.25
2020-11-29,339452285137.5
2020-11-28,329257516362.5
2020-11-27,311647075281.25
2020-11-26,311762160125.0
2020-11-25,350822459075.0
2020-11-24,357582931931.25
2020-11-23,341195973907.3539
2020-11-22,344925018137.5
2020-11-21,346342209243.75
2020-11-20,345950805509.375
2020-11-19,330187006153.125
2020-11-18,327519042168.75
2020-11-17,325839725087.5
2020-11-16,311071476568.75
2020-11-15,294279794243.75
2020-11-14,296732186887.5
2020-11-13,303217355046.2438
2020-11-12,301228052049.99994
2020-11-11,291337325262.5
2020-11-10,285103506599.99994
2020-11-09,283022971862.49994
2020-11-08,287130822525.0
2020-11-07,274512026537.5
2020-11-06,287415242587.5
2020-11-05,279755947143.74994
2020-11-04,260253813662.5
